catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
institute for telecommunication sciences,institute for telecommunication sciences,US Institute for Telecommunication Sciences,US Executive Branch,US Department of Commerce,US National Telecommunications and Information Administration,NA,its.bldrdoc.gov,,United States,0,0,0,,,,
us fishwatch,us fishwatch,US FishWatch,US Executive Branch,US Department of Commerce,US NOAA Fisheries,NA,fishwatch.gov,,United States,0,0,0,,,,
stopfakes.gov,stopfakes.gov,US stopfakes.gov,US Executive Branch,US Department of Commerce,US Office of Standards and Intellectual Property,NA,stopfakes.gov,,United States,0,0,0,,,,
office of privacy and open government,office of privacy and open government,US Office of Privacy and Open Government,US Executive Branch,US Department of Commerce,US Office of the Chief Financial Officer and Assistant Secretary for Administration,NA,,,United States,0,0,0,,,,
us global positioning system,us global positioning system,US Global Positioning System,US Executive Branch,US Department of Defense,US Space Force,,gps.gov,,United States,,,,,,,
advanced distributed learning initiative,advanced distributed learning initiative,Advanced Distributed Learning Initiative,US Executive Branch,US Department of Defense,,,adlnet.gov,adl|adl-aicc,United States,,,,,,,
air force technical applications center,air force technical applications center,Air Force Technical Applications Center,US Executive Branch,US Department of Defense,,,aftac.gov|altusandc.gov|usandc.gov,,United States,,,,,,,
american forces information service,american forces information service,American Forces Information Service,US Executive Branch,US Department of Defense,,,dod.gov|pentagon.gov,,United States,,,,,,,
cnss secretariat,cnss secretariat,CNSS Secretariat,US Executive Branch,US Department of Defense,,,cnss.gov,,United States,,,,,,,
combating terrorism technical support office,combating terrorism technical support office,Combating Terrorism Technical Support Office,US Executive Branch,US Department of Defense,,,cttso.gov,,United States,,,,,,,
defense cyber crime center,defense cyber crime center,Defense Cyber Crime Center,US Executive Branch,US Department of Defense,,,dc3on.gov,,United States,,,,,,,
defense finance and accounting service,defense finance and accounting service,Defense Finance and Accounting Service,US Executive Branch,US Department of Defense,,,mypay.gov,dfas,United States,,,,,,,
defense intelligence agency,defense intelligence agency,Defense Intelligence Agency,US Executive Branch,US Department of Defense,,,siteidiq.gov,dia,United States,,,,,,,
defense logistics agency,defense logistics agency,Defense Logistics Agency,US Executive Branch,US Department of Defense,,,jccs.gov,dla,United States,,,,,,,
defense media activity,defense media activity,Defense Media Activity,US Executive Branch,US Department of Defense,,,defense.gov,,United States,,,,,,,
department of defense,department of defense,Department of Defense,US Executive Branch,US Department of Defense,,,mtmc.gov,,United States,,,,,,,
engineer research and development center,engineer research and development center,Engineer Research and Development Center,US Executive Branch,US Department of Defense,,,erdc.gov,,United States,,,,,,,
federal voting assistance program,federal voting assistance program,Federal Voting Assistance Program,US Executive Branch,US Department of Defense,,,fvap.gov,fvap,United States,,,,,,,
interagency opsec support staff,interagency opsec support staff,Interagency OPSEC Support Staff,US Executive Branch,US Department of Defense,,,ioss.gov,,United States,,,,,,,
interagency training center,interagency training center,Interagency Training Center,US Executive Branch,US Department of Defense,,,itc.gov,,United States,,,,,,,
mctft,mctft,MCTFT,US Executive Branch,US Department of Defense,,,ctoc.gov,,United States,,,,,,,
mojave desert ecosystem program,mojave desert ecosystem program,Mojave Desert Ecosystem Program,US Executive Branch,US Department of Defense,,,mojavedata.gov,,United States,,,,,,,
national background investigation services,national background investigation services,National Background Investigation Services,US Executive Branch,US Department of Defense,,,nbis.gov,,United States,,,,,,,
national security agency,national security agency,National Security Agency,US Executive Branch,US Department of Defense,,,iad.gov,,United States,,,,,,,
national security agency,national security agency,National Security Agency,US Executive Branch,US Department of Defense,,,nsa.gov,nsa,United States,,,,,,,
national security education program,national security education program,National Security Education Program,US Executive Branch,US Department of Defense,,,nsep.gov,nsep,United States,,,,,,,
nro,nro,NRO,US Executive Branch,US Department of Defense,,,nro.gov|nrojr.gov,,United States,,,,,,,
office of economic adjustment,office of economic adjustment,Office of Economic Adjustment,US Executive Branch,US Department of Defense,,,oea.gov,oea,United States,,,,,,,
"office of the under secretary of defense for acquisition, technology and logistics","office of the under secretary of defense for acquisition, technology and logistics","Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",US Executive Branch,US Department of Defense,,,businessdefense.gov,,United States,,,,,,,
office of warrior care policy,office of warrior care policy,OFFICE OF WARRIOR CARE POLICY,US Executive Branch,US Department of Defense,,,nationalresourcedirectory.gov|nrd.gov,,United States,,,,,,,
technical support working group,technical support working group,Technical Support Working Group,US Executive Branch,US Department of Defense,,,tswg.gov,,United States,,,,,,,
us army corps of engineers,us army corps of engineers,US Army Corps of Engineers,US Executive Branch,US Department of Defense,,,cmts.gov,,United States,,,,,,,
us space force,us space force,US Space Force,US Executive Branch,US Department of Defense,,,spaceforce.mil,,,,,,,,,
budget line of business|budget lob,budget line of business|budget lob,US Budget Line of Business,US Executive Branch,US Department of Education,Interagency (see source),NA,budgetlob.gov,,United States,,,,https://budgetlob.max.gov/AboutUs.html,,,
us digital literacy,us digital literacy,US Digital Literacy,US Executive Branch,US Department of Education,Interagency (see source),NA,digitalliteracy.gov,,United States,,,,,,,
forum on child and family statistics,forum on child and family statistics,US Federal Interagency Forum on Child and Family Statistics,US Executive Branch,US Department of Education,Interagency (see source),NA,childstats.gov,,United States,,,,https://www.childstats.gov/forum/agencies.asp,,,
us department of education|us education department,us department of education|us education department,US Department of Education,US Executive Branch,US Department of Education,NA,Department/Agency,ed.gov,,United States,,,,https://www2.ed.gov/about/offices/list/index.html?src=ft,,,
education open data platform,education open data platform,US Deptartment of Education Open Data Platform,US Executive Branch,US Department of Education,NA,NA,data.ed.gov,,United States,,,,,,,
us education office of the deputy secretary,us education office of the deputy secretary,US Education Office of the Deputy Secretary,US Executive Branch,US Department of Education,NA,Office,ods.ed.gov,,United States,,,,,,,
us education office of the secretary,us education office of the secretary,US Education Office of the Secretary,US Executive Branch,US Department of Education,NA,Office,os.ed.gov,,United States,,,,,,,
us education office of the under secretary,us education office of the under secretary,US Education Office of the Under Secretary,US Executive Branch,US Department of Education,NA,Office,ous.ed.gov,,United States,,,,,,,
education publications center|ed pubs,education publications center|ed pubs,US Education Publications Center,US Executive Branch,US Department of Education,NA,NA,edpubs.gov,edpubs,United States,,,,,,,
g5 grant,g5 grant,US G5 Grant System,US Executive Branch,US Department of Education,NA,NA,g5.gov,,United States,,,,,,,
national center for education statistics,national center for education statistics,US National Center for Education Statistics,US Executive Branch,US Department of Education,NA,Office,nces.ed.gov,nces,United States,,,,https://www2.ed.gov/about/offices/or/fs/ies/nces.html,,,
commission on presidential scholars,commission on presidential scholars,US Commission on Preseidential Scholars,US Executive Branch,US Department of Education,US Education Office of Communications and Outreach,,,,United States,,,,,,,
us education office of finance and operations,us education office of finance and operations,US Education Office of Finance and Operations,US Executive Branch,US Department of Education,US Education Office of the Deputy Secretary,Office,ofo.ed.gov,,United States,,,,,,,
us education office of the chief information officer,us education office of the chief information officer,US Education Office of the Chief Information Officer,US Executive Branch,US Department of Education,US Education Office of the Deputy Secretary,Office,ocio.ed.gov,,United States,,,,,,,
office of elementary and secondary education,office of elementary and secondary education,US Office of Elementary and Secondary Education,US Executive Branch,US Department of Education,US Education Office of the Deputy Secretary,Office,oese.ed.gov,oese,United States,,,,,,,
office of english language acquisition,office of english language acquisition,US Office of English Language Acquisition,US Executive Branch,US Department of Education,US Education Office of the Deputy Secretary,Office,,,United States,,,,,,,
office of special education and rehabilitative services,office of special education and rehabilitative services,US Office of Special Education and Rehabilitative Services,US Executive Branch,US Department of Education,US Education Office of the Deputy Secretary,NA,osers.ed.gov,osers,United States,,,,,,,
us education faith based and neighborhood partnerships,us education faith based and neighborhood partnerships,US Education Faith-Based and Neighborhood Partnerships,US Executive Branch,US Department of Education,US Education Office of the Secretary,,,,United States,,,,,,,
education office of civil rights,education office of civil rights,US Education Office of Civil Rights,US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,,,United States,,,,Office of Civil Right exists in HHS and Ed,,,
office of communications and outreach,office of communications and outreach,US Education Office of Communications and Outreach,US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,,,United States,,,,,,,
us education office of inspector general,us education office of inspector general,US Education Office of Inspector General,US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,oig.ed.gov,oig,United States,,,,,,,
us education office of legislation and congressional affairs,us education office of legislation and congressional affairs,US Education Office of Legislation and Congressional Affairs,US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,,,United States,,,,,,,
us education office of the general counsel,us education office of the general counsel,US Education Office of the General Counsel,US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,ogc.ed.gov,ogc,United States,,,,,,,
institute of education services,institute of education services,US Institute of Education Sciences,US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,ies.ed.gov,ies,United States,,,,,,,
office of planning evaluation and policy development,office of planning evaluation and policy development,"US Office of Planning, Evaluation and Policy Development",US Executive Branch,US Department of Education,US Education Office of the Secretary,Office,opepd.ed.gov,opepd,United States,,,,,,,
white house initiative on american indian and alaskan native education,white house initiative on american indian and alaskan native education,US White House Initiative on American Indian and Alaskan Native Education,US Executive Branch,US Department of Education,US Education Office of the Secretary,Initiative,,,United States,,,,,,,
white house initiative on educational excellence for african americans,white house initiative on educational excellence for african americans,US White House Initiative on Educational Excellence for African Americans,US Executive Branch,US Department of Education,US Education Office of the Secretary,Initiative,,,United States,,,,,,,
white house initiative on educational excellence for hispanics,white house initiative on educational excellence for hispanics,US White House Initiative on Educational Excellence for Hispanics,US Executive Branch,US Department of Education,US Education Office of the Secretary,Initiative,,,United States,,,,,,,
office of career technical and adult education,office of career technical and adult education,"Office of Career, Technical, and Adult Education",US Executive Branch,US Department of Education,US Education Office of the Under Secretary,,,octae,United States,,,,,,,
federal student aid|federalstudentaid,federal student aid|federalstudentaid,US Federal Student Aid,US Executive Branch,US Department of Education,US Education Office of the Under Secretary,NA,studentaid.gov|studentloans.gov,,United States,,,,,,,
office of postsecondary education,office of postsecondary education,US Office of Postsecondary Education,US Executive Branch,US Department of Education,US Education Office of the Under Secretary,NA,ope.ed.gov,ope,United States,,,,,,,
white house initiative on historically black colleges and universities,white house initiative on historically black colleges and universities,White House Initiative on Historically Black Colleges and Universities,US Executive Branch,US Department of Education,US Education Office of the Under Secretary,,,,United States,,,,,,,
free application for federal student aid,free application for federal student aid,US Free Application for Federal Student Aid,US Executive Branch,US Department of Education,US Federal Student Aid,NA,fafsa.gov,fafsa,United States,,,,,,,
national board of education sciences,national board of education sciences,National Board of Education Sciences,US Executive Branch,US Department of Education,US Institute of Education Sciences,Office,,,United States,,,,,,,
national center for special education evaluation research,national center for special education evaluation research,National Center for Special Education Evaluation Research,US Executive Branch,US Department of Education,US Institute of Education Sciences,Office,,ncser,United States,,,,,,,
national center for education evaluation and regional assistance,national center for education evaluation and regional assistance,US National Center for Education Evaluation and Regional Assistance,US Executive Branch,US Department of Education,US Institute of Education Sciences,Office,,nceera,United States,,,,,,,
national center for education research,national center for education research,US National Center for Education Research,US Executive Branch,US Department of Education,US Institute of Education Sciences,Office,ncer.ed.gov,ncer,United States,,,,,,,
national assessment governing board,national assessment governing board,US National Assessment Governing Board,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,"Boards, Committees & Councils",nagb.gov,nagb,United States,,,,,,,
us nces advisory council on education statistics,us nces advisory council on education statistics,US NCES Advisory Council on Education Statistics,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,"Boards, Committees & Councils",,aces,United States,,,,,,,
us nces assessment division,us nces assessment division,US NCES Assessment Division,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,Division,,,United States,,,,,,,
"us nces early childhood, international, and crosscutting studies division","us nces early childhood, international, and crosscutting studies division","US NCES Early Childhood, International, and Crosscutting Studies Division",US Executive Branch,US Department of Education,US National Assessment of Educational Progress,Division,,,United States,,,,,,,
us nces elementary secondary and libraries studies division,us nces elementary secondary and libraries studies division,US NCES Elementary/Secondary and Libraries Studies Division,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,Division,,,United States,,,,,,,
us nces office of the commissioner,us nces office of the commissioner,US NCES Office of the Commissioner,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,Office,,,United States,,,,,,,
us nces office of the deputy commissioner,us nces office of the deputy commissioner,US NCES Office of the Deputy Commissioner,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,Office,,,United States,,,,,,,
us nces postsecondary statistics division,us nces postsecondary statistics division,US NCES Postsecondary Statistics Division,US Executive Branch,US Department of Education,US National Assessment of Educational Progress,Division,,,United States,,,,,,,
us nceera evaluation division,us nceera evaluation division,US NCEERA Evaluation Division,US Executive Branch,US Department of Education,US National Center for Education Evaluation and Regional Assistance,Division,,,United States,,,,,,,
us nceera knowledge utilization division,us nceera knowledge utilization division,US NCEERA Knowledge Utilization Division,US Executive Branch,US Department of Education,US National Center for Education Evaluation and Regional Assistance,Division,,,United States,,,,,,,
us ncer policy and systems division,us ncer policy and systems division,US NCER Policy and Systems Division,US Executive Branch,US Department of Education,US National Center for Education Research,Division,,,United States,,,,,,,
us ncer teaching and learning division,us ncer teaching and learning division,US NCER Teaching and Learning Division,US Executive Branch,US Department of Education,US National Center for Education Research,Division,,,United States,,,,,,,
college navigator,college navigator,US College Navigator,US Executive Branch,US Department of Education,US National Center for Education Statistics,NA,collegenavigator.gov,,United States,,,,,,,
nces assessment division|nation's report card|national assessment of educational progress,nces assessment division|nation's report card|national assessment of educational progress,US National Assessment of Educational Progress,US Executive Branch,US Department of Education,US National Center for Education Statistics,NA,nationsreportcard.gov,naep,United States,,,,,,,
us education grants policy office,us education grants policy office,US Education Grants Policy Office,US Executive Branch,US Department of Education,"US Office of Planning, Evaluation and Policy Development",Office,,,United States,,,,,,,
office of educational technology,office of educational technology,US Education Office of Educational Technology,US Executive Branch,US Department of Education,"US Office of Planning, Evaluation and Policy Development",Office,tech.ed.gov,oet,United States,,,,,,,
us education office of the chief data officer,us education office of the chief data officer,US Education Office of the Chief Data Officer,US Executive Branch,US Department of Education,"US Office of Planning, Evaluation and Policy Development",Office,,,United States,,,,,,,
us education student privacy policy office,us education student privacy policy office,US Education Student Privacy Policy Office,US Executive Branch,US Department of Education,"US Office of Planning, Evaluation and Policy Development",Office,,,United States,,,,,,,
office of special education programs,office of special education programs,US Office of Special Education Programs,US Executive Branch,US Department of Education,US Office of Special Education and Rehabilitative Services,Program Office,osep.ed.gov,osep,United States,,,,,,,
osers office of the assistant secretary,osers office of the assistant secretary,US OSERS Office of the Assistant Secretary,US Executive Branch,US Department of Education,US Office of Special Education and Rehabilitative Services,Office,oas.ed.gov,,United States,,,,,,,
rehabilitation services administration,rehabilitation services administration,US Rehabilitation Services Administration,US Executive Branch,US Department of Education,US Office of Special Education and Rehabilitative Services,Program Office,rsa.ed.gov,rsa,United States,,,,,,,
us doe idaho operations office,us doe idaho operations office,US Idaho Operations Office,US Executive Branch,US Department of Energy,Idaho National Laboratory,Operations Office,id.energy.gov,,United States,0,0,0,https://www.energy.gov/offices,,,
biomass research and development board,biomass research and development board,US Biomass Research and Development Board,US Executive Branch,US Department of Energy,Interagency (see source),NA,biomassboard.gov,,United States,0,0,0,https://biomassboard.gov/biomass-research-and-development-board,,,
commerce energy nasa defense information managers group,commerce energy nasa defense information managers group,"US Commerce, Energy, NASA, Defense Information Managers Group",US Executive Branch,US Department of Energy,Interagency (see source),NA,cendi.gov,cendi,United States,0,0,0,https://cendi.gov/,,,
national energy research scientific computing center,national energy research scientific computing center,US National Energy Research Scientific Computing Center,US Executive Branch,US Department of Energy,Lawrence Berkeley National Laboratory,Scientific Computing Center,nersc.gov,,United States,0,0,0,,,,
advanced research projects agency energy,advanced research projects agency energy,US Advanced Research Projects Agency - Energy,US Executive Branch,US Department of Energy,NA,Program Office,arpa-e.energy.gov,arpa-e,United States,0,0,1,https://www.energy.gov/offices,,,
arctic energy office,arctic energy office,US Arctic Energy Office,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
artificial intelligence and technology office,artificial intelligence and technology office,US Artificial Intelligence & Technology Office,US Executive Branch,US Department of Energy,NA,Program Office,NA,,United States,0,0,1,https://www.energy.gov/offices,,,
atmospheric radiation measurement,atmospheric radiation measurement,US Atmospheric Radiation Measurement,US Executive Branch,US Department of Energy,NA,NA,arm.gov,,United States,0,0,0,,,,
us doe waste isolation pilot plant,us doe waste isolation pilot plant,US Carsbad Field Office,US Executive Branch,US Department of Energy,NA,Operations Office,wipp.energy.gov,,United States,0,0,0,https://www.energy.gov/offices,,,
consortium for advanced simulation of light water reactors,consortium for advanced simulation of light water reactors,US Consortium For Advanced Simulation Of Light Water Reactors,US Executive Branch,US Department of Energy,NA,NA,casl.gov,casl,United States,0,0,0,,,,
us department of energy,us department of energy,US Department of Energy,US Executive Branch,US Department of Energy,NA,Department/Agency,doe.gov|unrpnet.gov,doe,United States,0,0,1,https://www.energy.gov/offices,,,
energy information administration,energy information administration,US Energy Information Administration,US Executive Branch,US Department of Energy,NA,NA,eia.gov,eia,United States,0,0,0,,,,
energy office of the general counsel,energy office of the general counsel,US Energy Office of the General Counsel,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
environmental management los alamos,environmental management los alamos,US Environmental Management Los Alamos Field Office,US Executive Branch,US Department of Energy,NA,Operations Office,,,United States,0,0,0,https://www.energy.gov/offices,,,
doe loan programs office,doe loan programs office,US Loan Programs Office,US Executive Branch,US Department of Energy,NA,Program Office,NA,,United States,0,0,1,https://www.energy.gov/offices,,,
national isotope development center,national isotope development center,US National Isotope Development Center,US Executive Branch,US Department of Energy,NA,NA,isotope.gov|isotopes.gov,,United States,0,0,0,,,,
national nuclear security administration,national nuclear security administration,US National Nuclear Security Administration,US Executive Branch,US Department of Energy,NA,NA,doeal.gov,nnsa,United States,0,0,0,,,,
office of fossil energy and carbon management,office of fossil energy and carbon management,US Office Fossil Energy and Carbon Management,US Executive Branch,US Department of Energy,NA,Program Office,NA,fecm,United States,0,0,1,https://www.energy.gov/offices,,,
office of civilian radioactive waste management,office of civilian radioactive waste management,US Office of Civilian Radioactive Waste Management,US Executive Branch,US Department of Energy,NA,NA,,ocrwm,United States,0,0,0,,,,
office of congressional and intergovernmental affairs,office of congressional and intergovernmental affairs,US Office of Congressional and Intergovernmental Affairs,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of cybersecurity energy security and emergency response,office of cybersecurity energy security and emergency response,"US Office of Cybersecurity, Energy Security, and Emergency Response",US Executive Branch,US Department of Energy,NA,Program Office,NA,cesar,United States,0,0,1,https://www.energy.gov/offices,,,
office of economic impact and diversity,office of economic impact and diversity,US Office of Economic Impact and Diversity,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of electricity delivery and energy reliability|us office of electricity,office of electricity delivery and energy reliability|us office of electricity(?! [a-z]),US Office of Electricity,US Executive Branch,US Department of Energy,NA,Program Office,energy.gov,,United States,0,0,1,https://www.energy.gov/offices,,,
office of energy efficiency and renewable energy,office of energy efficiency and renewable energy,US Office of Energy Efficiency and Renewable Energy,US Executive Branch,US Department of Energy,NA,Program Office,homeenergyscore.gov,eere,United States,0,0,1,https://www.energy.gov/offices,,,
office of environment health safety and security,office of environment health safety and security,"US Office of Environment, Health, Safety & Security",US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of environmental management,office of environmental management,US Office of Environmental Management,US Executive Branch,US Department of Energy,NA,Program Office,emcbc.doe.gov,emcbc,United States,0,0,1,https://www.energy.gov/offices,,,
office of hearings and appeals,office of hearings and appeals,US Office of Hearings and Appeals,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of indian energy policy and programs,office of indian energy policy and programs,US Office of Indian Energy Policy and Programs,US Executive Branch,US Department of Energy,NA,Program Office,NA,,United States,0,0,1,https://www.energy.gov/offices,,,
office of intelligence and counterintelligence,office of intelligence and counterintelligence,US Office of Intelligence and Counterintelligence,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of international affairs,office of international affairs,US Office of International Affairs,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of legacy management,office of legacy management,US Office of Legacy Management,US Executive Branch,US Department of Energy,NA,Program Office,lm.doe.gov,,United States,0,0,1,https://www.energy.gov/offices,,,
office of management,office of management,US Office of Management,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of nepa policy and compliance,office of nepa policy and compliance,US Office of NEPA Policy and Compliance,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of nuclear energy,office of nuclear energy,US Office of Nuclear Energy,US Executive Branch,US Department of Energy,NA,Program Office,nuclear.gov,,United States,0,0,1,https://www.energy.gov/offices,,,
office of project management,office of project management,US Office of Project Management,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of public affairs,office of public affairs,US Office of Public Affairs,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
doe office of science,doe office of science,US Office of Science,US Executive Branch,US Department of Energy,NA,Program Office,NA,,United States,0,0,1,https://www.energy.gov/offices,,,
office of small and disadvantaged business utilization,office of small and disadvantaged business utilization,US Office of Small and Disadvantaged Business Utilization,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
office of technology transitions,office of technology transitions,US Office of Technology Transitions,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
department of energy office of the chief financial officier,department of energy office of the chief financial officier,US Office of the Chief Financial Officier,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
department of energy office of the chief human capitol officer,department of energy office of the chief human capitol officer,US Office of the Chief Human Capitol Officer,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
department of energy office of the chief information officer,department of energy office of the chief information officer,US Office of the Chief Information Officer,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
department of energy office of the enterprise assessments,department of energy office of the enterprise assessments,US Office of the Enterprise Assessments,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
doe office of the inspector general|department of energy office of the inspector general,doe office of the inspector general|department of energy office of the inspector general,US Office of the Inspector General,US Executive Branch,US Department of Energy,NA,Staff Offices,,,United States,0,0,0,https://www.energy.gov/offices,,,
savannah river site|savannah river nuclear solutions,savannah river site|savannah river nuclear solutions,US Savannah River Site,US Executive Branch,US Department of Energy,NA,Operations Office,srs.gov,srns,United States,0,0,0,https://www.energy.gov/offices,,,
solar decathalon,solar decathalon,US Solar Decathalon,US Executive Branch,US Department of Energy,NA,NA,solardecathlon.gov,,United States,0,0,0,,,,
lawrence livermore national laboratory|lawrence livermore national laboratories|lawrence livermore national lab,lawrence livermore national laboratory|lawrence livermore national laboratories|lawrence livermore national lab(?![a-z]),Lawrence Livermore National Laboratory,US Executive Branch,US Department of Energy,National Nuclear Security Administration Laboratories,Labs & Technology Centers,llnl.gov,llnl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
los alamos national laboratory|los alamos,los alamos national laboratory|los alamos(?! [a-z]),Los Alamos National Laboratory,US Executive Branch,US Department of Energy,National Nuclear Security Administration Laboratories,Labs & Technology Centers,lanl.gov,lanl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
sandia national laboratories|sandia national labs,sandia national laboratories|sandia national labs,Sandia National Laboratories,US Executive Branch,US Department of Energy,National Nuclear Security Administration Laboratories,Labs & Technology Centers,sandia.gov,,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
oak ridge institute for science and education,oak ridge institute for science and education,Oak Ridge Institute for Science and Education,US Executive Branch,US Department of Energy,Oak Ridge National Laboratory,Labs & Technology Centers,orau.gov,orau,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
national climate computing research center,national climate computing research center,US National Climate Computing Research Center,US Executive Branch,US Department of Energy,Oak Ridge National Laboratory,Scientific Computing Center,ncrc.gov,ncrc,United States,0,0,0,,,,
us national transportation research center,us national transportation research center,US National Transportation Research Center,US Executive Branch,US Department of Energy,Oak Ridge National Laboratory,NA,ntrc.gov,ntrc,United States,0,0,0,,,,
oak ridge leadership computing facility,oak ridge leadership computing facility,US Oak Ridge Leadership Computing Facility,US Executive Branch,US Department of Energy,Oak Ridge National Laboratory,Scientific Computing Center,nccs.gov,nccs,United States,0,0,0,,,,
scientific discovery through advanced computing,scientific discovery through advanced computing,US Scientific Discovery Through Advanced Computing,US Executive Branch,US Department of Energy,Oak Ridge National Laboratory,Scientific Computing Center,scidac.gov,scidac,United States,0,0,0,,,,
spallation neutron sciences,spallation neutron sciences,US Spallation Neutron Sciences,US Executive Branch,US Department of Energy,Oak Ridge National Laboratory,NA,sns.gov,,United States,0,0,0,,,,
savannah river national laboratory|savannah river national labs,savannah river national laboratory|savannah river national labs,Savannah River National Laboratory,US Executive Branch,US Department of Energy,Office of Environmental Management,Labs & Technology Centers,srnl.doe.gov,srnl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
national energy technology laboratory|national energy technology lab,national energy technology laboratory|national energy technology lab(?![a-z]),National Energy Technology Laboratory,US Executive Branch,US Department of Energy,Office of Fossil Energy,Labs & Technology Centers,netl.doe.gov,netl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
idaho national laboratory|idaho national lab|idaho national labs|idaho national laboratories,idaho national laboratory|idaho national lab(?![a-z])|idaho national labs|idaho national laboratories,Idaho National Laboratory,US Executive Branch,US Department of Energy,Office of Nuclear Energy,Labs & Technology Centers,inel.gov|inl.gov,inl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
lawrence berkeley national laboratory|lawrence berkeley,lawrence berkeley national laboratory|lawrence berkeley(?! [a-z]),Lawrence Berkeley National Laboratory,US Executive Branch,US Department of Energy,Office of Science Laboratories,Labs & Technology Centers,lbl.gov,lbl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
national renewable energy laboratory|national renewable energy lab,national renewable energy laboratory|national renewable energy lab(?![a-z]),National Renewable Energy Laboratory,US Executive Branch,US Department of Energy,Office of Scientific and Technical Information,Labs & Technology Centers,nrel.gov|nrelhub.gov,,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
doe smart grid,doe smart grid,US Smart Grid,US Executive Branch,US Department of Energy,US Office of Electricity,NA,smartgrid.gov,,United States,0,0,0,,,,
us power adminstrations,us power adminstrations,US Power Administrations,US Executive Branch,US Department of Energy,US Office of Electricity Delivery and Energy Reliability,Power Marketing Administration,NA,,United States,0,0,1,https://www.energy.gov/offices,,,
better buildings initiative,better buildings initiative,US Better Buildings Initiative,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,NA,betterbuildingssolutioncenter.energy.gov,,United States,0,0,0,,,,
doe building america program,doe building america program,US Building America Program,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,NA,buildingamerica.gov,,United States,0,0,0,,,,
department of energy bulding energy codes program,department of energy bulding energy codes program,US Bulding Energy Codes Program,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,NA,energycodes.gov,,United States,0,0,0,,,,
