catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
central intelligence agency,central intelligence agency,US Central Intelligence Agency,US Executive Branch,Central Intelligence Agency,,,cia.gov|df.gov|ic.gov|istac.gov|odci.gov|ucia.gov,cia,United States,,,,,,,
US chemical safety and hazard investigation board,US chemical safety and hazard investigation board,US Chemical Safety and Hazard Investigation Board,US Executive Branch,Chemical Safety Board,,,csb.gov|safetyvideos.gov,,United States,,,,,,,
civil air patrol,civil air patrol,US Civil Air Patrol,US Executive Branch,US Department of Defense,US Air Force,,cap.gov|capnhq.gov,,United States,,,,,,,
commodity futures trading commission,commodity futures trading commission,Commodity Futures Trading Commission,US Executive Branch,Commodity Futures Trading Commission,,,smartcheck.gov,cftc,United States,,,,,,,
US commodity futures trading commission,US commodity futures trading commission,US Commodity Futures Trading Commission,US Executive Branch,Commodity Futures Trading Commission,,,cftc.gov|whistleblower.gov,,United States,,,,,,,
corporation for national and community service office of inspector general,corporation for national and community service office of inspector general,"Corporation for National and Community Service, Office Of Inspector General,",US Executive Branch,"Corporation for National and Community Service, Office Of Inspector General",,,cncsoig.gov,,United States,,,,,,,
council of inspectors general on integrity and efficiency|council of the inspectors general on integrity and efficiency|inspectors general,council of inspectors general on integrity and efficiency|council of the inspectors general on integrity and efficiency|inspectors general,Council of Inspector General on Integrity and Efficiency,US Executive Branch,Council of Inspectors General on Integrity and Efficiency,,,cigie.gov,cigie,United States,,,,,,,
council of the inspectors general on integrity and efficiency,council of the inspectors general on integrity and efficiency,Council of the Inspectors General on Integrity and Efficiency,US Executive Branch,Council of Inspectors General on Integrity and Efficiency,,,ignet.gov|oversight.gov,,United States,,,,,,,
court services and offender supervision|court services and offender supervision agency for the district of columbia|court services and offender supervision agency,court services and offender supervision|court services and offender supervision agency for the district of columbia|court services and offender supervision agency,Court Services and Offender Supervision Agency,US Executive Branch,Court Services and Offender Supervision,,,csosa.fed.us|psa.gov|csosa.gov,csosa,United States,,,,,,,
pretrial services agency for the district of columbia,pretrial services agency for the district of columbia,Pretrial Services Agency for the District of Columbia,US Executive Branch,Court Services and Offender Supervision,,,pretrialservices.gov,,United States,,,,,,,
cyberspace solarium commission,cyberspace solarium commission,Cyberspace Solarium Commission,US Executive Branch,Cyberspace Solarium Commission,,,solarium.gov,,United States,,,,,,,
defense nuclear facilities safety board,defense nuclear facilities safety board,Defense Nuclear Facilities Safety Board,US Executive Branch,Defense Nuclear Facilities Safety Board,,,dnfsb.gov,dnfsb,United States,,,,,,,
delta regional authority,delta regional authority,Delta Regional Authority,US Executive Branch,Delta Regional Authority,,,dra.gov,,United States,,,,,,,
alaska federal executive association,alaska federal executive association,Alaska Federal Executive Association,US Executive Branch,Denali Commission,,,fea.gov,,United States,,,,,,,
denali commission,denali commission,Denali Commission,US Executive Branch,Denali Commission,,,denali.gov,,United States,,,,,,,
west coast & alaska tsunami warning center,west coast & alaska tsunami warning center,West Coast & Alaska Tsunami Warning Center,US Executive Branch,Department of Commerce,,,tsunami.gov,,United States,,,,,,,
smokefree,smokefree,US HHS Smokefree,US Executive Branch,Department of Health and Human Services,National Cancer Institute,,smokefree.gov,,United States,,,,,,,
findtreatment.gov,findtreatment.gov,US HHS findtreatment.gov,US Executive Branch,Department of Health and Human Services,US HHS Substance Abuse and Mental Health Services Administration,,findtreatment.gov,,United States,,,,,,,https://github.com/CBHSQ/findtreatment
mentalhealth.gov,mentalhealth.gov,US HHS mentalhealth.gov,US Executive Branch,Department of Health and Human Services,US HHS Substance Abuse and Mental Health Services Administration,,mentalhealth.gov,,United States,,,,,,,
national recovery month,national recovery month,US HHS National Recovery Month,US Executive Branch,Department of Health and Human Services,US HHS Substance Abuse and Mental Health Services Administration,,recoverymonth.gov,,United States,,,,,,,
administration for children and families,administration for children and families,Administration for Children and Families,US Executive Branch,Department of Health and Human Services,,,childcare.gov,acf,United States,,,,,,,
administration for community living,administration for community living,Administration for Community Living,US Executive Branch,Department of Health and Human Services,,,acl.gov|whaging.gov|whitehouseconferenceonaging.gov,,United States,,,,,,,
administration on aging,administration on aging,Administration on Aging,US Executive Branch,Department of Health and Human Services,,,aoa.gov,,United States,,,,,,,
advanced biomedical computing center,advanced biomedical computing center,Advanced Biomedical Computing Center,US Executive Branch,Department of Health and Human Services,,,ncifcrf.gov,,United States,,,,,,,
