academic_terms,original_string,new_string,domains,country,as_of,
universidad torcuato di tella,universidad torcuato di tella,universidad torcuato di tella,utdt.edu,Argentina,2021-08-24,
american university of armenia,american university of armenia,american university of armenia,aua.am,Armenia,2021-08-24,
armenian state agrarian university,armenian state agrarian university,armenian state agrarian university,asau.am,Armenia,2021-08-24,
armenian state university of economics,armenian state university of economics,armenian state university of economics,asue.am,Armenia,2021-08-24,
eurasia international university,eurasia international university,eurasia international university,eiu.am,Armenia,2021-08-24,
european regional educational academy of armenia,european regional educational academy of armenia,european regional educational academy of armenia,eriicta.am,Armenia,2021-08-24,
french university in armenia|ufar,french university in armenia|ufar,french university in armenia,ufar.am,Armenia,2021-08-24,
mehrabyan medical institute and medical college,mehrabyan medical institute and medical college,mehrabyan medical institute and medical college,armmed.am,Armenia,2021-08-24,
russian armenian state university,russian armenian state university,russian-armenian state university,rau.am,Armenia,2021-08-24,
state engineering university of armenia,state engineering university of armenia,state engineering university of armenia,seua.am,Armenia,2021-08-24,
yerevan haibusak university,yerevan haibusak university,yerevan haibusak university,haybusak.org,Armenia,2021-08-24,
yerevan state medical university,yerevan state medical university,yerevan state medical university,ysmu.am,Armenia,2021-08-24,
yerevan state university,yerevan state university,yerevan state university,ysu.am,Armenia,2021-08-24,
australian catholic university,australian catholic university,australian catholic university,acu.edu.au,Australia,2021-08-24,
australian correspondence schools,australian correspondence schools,australian correspondence schools,acs.edu.au,Australia,2021-08-24,
australian defence force academy,australian defence force academy,australian defence force academy,adfa.oz.au,Australia,2021-08-24,
australian lutheran college,australian lutheran college,australian lutheran college,alc.edu.au,Australia,2021-08-24,
australian maritime college,australian maritime college,australian maritime college,amc.edu.au,Australia,2021-08-24,
australian national university,australian national university,australian national university,anu.edu.au,Australia,2021-08-24,
avondale college,avondale college,avondale college,avondale.edu.au,Australia,2021-08-24,
batchelor institute of indigenous tertiary education,batchelor institute of indigenous tertiary education,batchelor institute of indigenous tertiary education,nt.gov.au,Australia,2021-08-24,
blue mountains hotel school,blue mountains hotel school,blue mountains hotel school,hotelschool.com.au,Australia,2021-08-24,
bond university,bond university,bond university,bond.edu.au,Australia,2021-08-24,
box hill institute,box hill institute,box hill institute,bhtafe.edu.au|boxhill.edu.au,Australia,2021-08-24,
central queensland university,central queensland university,central queensland university,cqu.edu.au,Australia,2021-08-24,
charles darwin university,charles darwin university,charles darwin university,cdu.edu.au,Australia,2021-08-24,
charles sturt university,charles sturt university,charles sturt university,csu.edu.au,Australia,2021-08-24,
curtin university of technology|curtin university,curtin university of technology|curtin university(?! [a-z]),curtin university of technology,curtin.edu.au,Australia,2021-08-24,
deakin university|deakin,deakin university|deakin,deakin university,deakin.edu.au,Australia,2021-08-24,
edith cowan university,edith cowan university,edith cowan university,ecu.edu.au,Australia,2021-08-24,
federation university australia,federation university australia,federation university australia,federation.edu.au,Australia,2021-08-24,
flinders university,flinders university,flinders university,flinders.edu.au,Australia,2021-08-24,
griffith university,griffith university,griffith university,gu.edu.au,Australia,2021-08-24,
holmes institute,holmes institute,holmes institute,holmes.edu.au,Australia,2021-08-24,
institute of technology australia|australian institute of technology,institute of technology australia|australian institute of technology,institute of technology australia,iota.edu.au,Australia,2021-08-24,
international college of tourism and hotel management,international college of tourism and hotel management,international college of tourism and hotel management,icthm.edu.au,Australia,2021-08-24,
james cook university,james cook university,james cook university,jcu.edu.au|my.jcu.edu.au,Australia,2021-08-24,
la trobe university,la trobe university,la trobe university,latrobe.edu.au,Australia,2021-08-24,
macquarie university,macquarie university,macquarie university,mq.edu.au,Australia,2021-08-24,
