catch_terms,recode_column,organization,domain_name,domain_type,agency,city,state,country
house democratic caucus,house democratic caucus,House Democratic Caucus,democrats.gov|dems.gov|housedemocrats.gov|housedems.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
government accountability office,government accountability office,Government Accountability Office,eseclab.gov|gao.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
fasab,fasab,FASAB,fasab.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
us government accountability office,us government accountability office,US Government Accountability Office,gaonet.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
house republican conference,house republican conference,House Republican Conference,gop.gov|republicans.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
office of the house republican leader,office of the house republican leader,Office of the House Republican Leader,gopleader.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
us  house of representatives,us  house of representatives,US  House of Representatives,housed.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
u.s. house of representatives,u.s. house of representatives,U.S. House of Representatives,houselive.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
"the joint committee on taxation, united states congress","the joint committee on taxation, united states congress","The Joint Committee on Taxation, United States Congress",jct.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
office of the majority leader,office of the majority leader,Office of the Majority Leader,majorityleader.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
office of the majority whip,office of the majority whip,Office of the Majority Whip,majoritywhip.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
us senate,us senate,US Senate,sen.gov|senate.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
office of the speaker,office of the speaker,Office of the Speaker,speaker.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
united states house of reps,united states house of reps,United States House of Reps,taxreform.gov,Federal Agency - Legislative,The Legislative Branch,Washington,DC,United States
u.s. capitol police,u.s. capitol police,U.S. Capitol Police,uscapitolpolice.gov,Federal Agency - Legislative,U.S. Capitol Police,Washington,DC,United States
united states capitol police,united states capitol police,United States Capitol Police,uscp.gov,Federal Agency - Legislative,U.S. Capitol Police,Washington,DC,United States
united states semiquincentennial commission,united states semiquincentennial commission,United States Semiquincentennial Commission,america250.gov|usa250.gov|ussemiquincentennial.gov,Federal Agency - Legislative,U.S. Semiquincentennial Commission,Washington D.C.,DC,United States
u.s. - china economic and security review commission,u.s. - china economic and security review commission,U.S. - China Economic and Security Review Commission,uscc.gov,Federal Agency - Legislative,U.S.-China Economic and Security Review Commission,Washington,DC,United States
western hemisphere drug policy commission,western hemisphere drug policy commission,Western Hemisphere Drug Policy Commission,whdpc.gov,Federal Agency - Legislative,Western Hemisphere Drug Policy Commission,"Washington,",MD,United States
