business,grididLabel,opencorporatesLabel,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q13977,grid.431434.5,,bloomberg,Bloomberg-company,
http://www.wikidata.org/entity/Q13977,grid.431434.5,,bloomberg-tv,Bloomberg-company,
http://www.wikidata.org/entity/Q13977,grid.431434.5,,o-y-properties-corporation,Bloomberg-company,
http://www.wikidata.org/entity/Q14428,grid.472805.c,jp/3120001077023,capcom,Capcom,
http://www.wikidata.org/entity/Q14772,grid.459383.0,,baidu,Baidu-company-1,118951
http://www.wikidata.org/entity/Q14799,grid.472772.3,,lenovo,Lenovo,283508
http://www.wikidata.org/entity/Q14799,grid.472772.3,,lenovo,Lenovo,110323
http://www.wikidata.org/entity/Q15805,,,hutchison-whampoa-limited,,283749
http://www.wikidata.org/entity/Q17180,,,,,
http://www.wikidata.org/entity/Q18224,grid.436909.1,dk/22756214,maersk,Maersk,
http://www.wikidata.org/entity/Q19616,grid.425772.1,,rai-spa,RAI-Radio-3,
http://www.wikidata.org/entity/Q20718,,,samsung-electronics,Samsung-Electronics,
http://www.wikidata.org/entity/Q20718,,,samsung-trkiye,Samsung-Electronics,
http://www.wikidata.org/entity/Q20718,,,samsung-strategy-and-innovation-center,Samsung-Electronics,
http://www.wikidata.org/entity/Q24315,,,,,
http://www.wikidata.org/entity/Q24376,,,,,
http://www.wikidata.org/entity/Q25775,,,affiliated-managers-group,,
http://www.wikidata.org/entity/Q25836,,,,,
http://www.wikidata.org/entity/Q26049,grid.413341.0,,aetna,,86
http://www.wikidata.org/entity/Q26070,,,,UNIQLO,
http://www.wikidata.org/entity/Q26298,grid.510358.a,,agricultural-bank-of-china,Agricultural-Bank-of-China,283738
http://www.wikidata.org/entity/Q26299,grid.510360.1,,,China-Construction-Bank,43528
http://www.wikidata.org/entity/Q26463,grid.510361.0,,,Industrial-and-Commercial-Bank-of-China,280990
http://www.wikidata.org/entity/Q26678,grid.14039.3f,de/D2601V_HRB42243,bmw,BMW-AG,118735
http://www.wikidata.org/entity/Q26678,grid.482868.8,de/D2601V_HRB42243,bmw,BMW-AG,118735
http://www.wikidata.org/entity/Q26678,grid.14039.3f,de/D2601V_HRB42243,bmw-ventures,BMW-AG,118735
http://www.wikidata.org/entity/Q26678,grid.482868.8,de/D2601V_HRB42243,bmw-ventures,BMW-AG,118735
http://www.wikidata.org/entity/Q26678,grid.14039.3f,de/D2601V_HRB42243,bmw,BMW-car-company,118735
http://www.wikidata.org/entity/Q26678,grid.482868.8,de/D2601V_HRB42243,bmw,BMW-car-company,118735
http://www.wikidata.org/entity/Q26678,grid.14039.3f,de/D2601V_HRB42243,bmw-ventures,BMW-car-company,118735
http://www.wikidata.org/entity/Q26678,grid.482868.8,de/D2601V_HRB42243,bmw-ventures,BMW-car-company,118735
http://www.wikidata.org/entity/Q26694,grid.426272.7,,,Outokumpu,
http://www.wikidata.org/entity/Q26989,grid.425047.0,,infosys,Infosys,
http://www.wikidata.org/entity/Q26989,grid.425047.0,,lodestone-holding,Infosys,
http://www.wikidata.org/entity/Q26989,grid.425047.0,,infosys,Infosys-company,
http://www.wikidata.org/entity/Q26989,grid.425047.0,,lodestone-holding,Infosys-company,
http://www.wikidata.org/entity/Q27065,grid.497157.9,,gogo,,
http://www.wikidata.org/entity/Q27143,,,,Avia,
http://www.wikidata.org/entity/Q27152,,,,,
http://www.wikidata.org/entity/Q27300,,,,,
http://www.wikidata.org/entity/Q27325,,,,,
http://www.wikidata.org/entity/Q27432,,,,Bethlehem-Steel,
http://www.wikidata.org/entity/Q27530,grid.5433.1,de/B8534_HRB19360,daimler,Daimler-AG-1,
http://www.wikidata.org/entity/Q27539,,,,,
http://www.wikidata.org/entity/Q27585,grid.467198.5,,aol,AOL,
http://www.wikidata.org/entity/Q27585,grid.467198.5,,bluestring,AOL,
http://www.wikidata.org/entity/Q27717,,,,FSC,
http://www.wikidata.org/entity/Q27786,,,,,
http://www.wikidata.org/entity/Q27879,,,,,
